SL.NO   Token           Lexeme              Line_no
1       #               Special_op          1     
2       include         Keyword             1     
3       <               Relational_op       1     
4       stdio           Keyword             1     
5       .               Special_op          1     
6       h               Identifier          1     
7       >               Relational_op       1     
8       #               Special_op          2     
9       include         Keyword             2     
10      <               Relational_op       2     
11      ctype           Keyword             2     
12      .               Special_op          2     
13      h               Identifier          2     
14      >               Relational_op       2     
15      #               Special_op          3     
16      include         Keyword             3     
17      <               Relational_op       3     
18      stdbool         Keyword             3     
19      .               Special_op          3     
20      h               Identifier          3     
21      >               Relational_op       3     
22      #               Special_op          4     
23      include         Keyword             4     
24      <               Relational_op       4     
25      string          Identifier          4     
26      .               Special_op          4     
27      h               Identifier          4     
28      >               Relational_op       4     
29      #               Special_op          6     
30      define          Keyword             6     
31      ROW             Identifier          6     
32      1               Number              6     
33      2               Number              6     
34      8               Number              6     
35      #               Special_op          7     
36      define          Keyword             7     
37      COL             Identifier          7     
38      4               Number              7     
39      0               Number              7     
40      #               Special_op          8     
41      define          Keyword             8     
42      KEYWORD         Identifier          8     
43      _               Special_op          8     
44      ENTRIES         Identifier          8     
45      2               Number              8     
46      3               Number              8     
47      static          Identifier          9     
48      void            Keyword             9     
49      display         Identifier          9     
50      _               Special_op          9     
51      lexemes         Identifier          9     
52      (               Open_bracket        9     
53      int             Keyword             9     
54      sl              Identifier          9     
55      _               Special_op          9     
56      number          Identifier          9     
57      ,               Special_op          9     
58      int             Keyword             9     
59      ch              Identifier          9     
60      ,               Special_op          9     
61      char            Keyword             9     
62      lexeme          Identifier          9     
63      [               Open_bracket        9     
64      ]               Close_bracket       9     
65      ,               Special_op          9     
66      int             Keyword             9     
67      line            Identifier          9     
68      _               Special_op          9     
69      number          Identifier          9     
70      ,               Special_op          9     
71      FILE            Keyword             9     
72      *               Arithmetic_op       9     
73      out             Identifier          9     
74      )               Close_bracket       9     
75      {               Open_bracket        10    
76      fprintf         Keyword             11    
77      (               Open_bracket        11    
78      out             Identifier          11    
79      ,               Special_op          11    
80      "               Special_op          11    
81      %               Special_op          11    
82      -               Arithmetic_op       11    
83      8               Number              11    
84      d               Identifier          11    
85      %               Special_op          11    
86      -               Arithmetic_op       11    
87      1               Number              11    
88      6               Number              11    
89      c               Identifier          11    
90      %               Special_op          11    
91      -               Arithmetic_op       11    
92      2               Number              11    
93      0               Number              11    
94      s               Identifier          11    
95      %               Special_op          11    
96      -               Arithmetic_op       11    
97      6               Number              11    
98      d               Identifier          11    
99      \               Special_op          11    
100     n               Identifier          11    
101     "               Special_op          11    
102     ,               Special_op          11    
103     sl              Identifier          11    
104     _               Special_op          11    
105     number          Identifier          11    
106     ,               Special_op          11    
107     (               Open_bracket        11    
108     char            Keyword             11    
109     )               Close_bracket       11    
110     ch              Identifier          11    
111     ,               Special_op          11    
112     lexeme          Identifier          11    
113     ,               Special_op          11    
114     line            Identifier          11    
115     _               Special_op          11    
116     number          Identifier          11    
117     )               Close_bracket       11    
118     ;               Semicolon           11    
119     }               Close_bracket       12    
120     static          Identifier          14    
121     void            Keyword             14    
122     display         Identifier          14    
123     _               Special_op          14    
124     lexemes         Identifier          14    
125     _               Special_op          14    
126     string          Identifier          14    
127     (               Open_bracket        14    
128     int             Keyword             14    
129     sl              Identifier          14    
130     _               Special_op          14    
131     number          Identifier          14    
132     ,               Special_op          14    
133     char            Keyword             14    
134     ch              Identifier          14    
135     [               Open_bracket        14    
136     ]               Close_bracket       14    
137     ,               Special_op          14    
138     char            Keyword             14    
139     lexeme          Identifier          14    
140     [               Open_bracket        14    
141     ]               Close_bracket       14    
142     ,               Special_op          14    
143     int             Keyword             14    
144     line            Identifier          14    
145     _               Special_op          14    
146     number          Identifier          14    
147     ,               Special_op          14    
148     FILE            Keyword             14    
149     *               Arithmetic_op       14    
150     out             Identifier          14    
151     )               Close_bracket       14    
152     {               Open_bracket        15    
153     fprintf         Keyword             16    
154     (               Open_bracket        16    
155     out             Identifier          16    
156     ,               Special_op          16    
157     "               Special_op          16    
158     %               Special_op          16    
159     -               Arithmetic_op       16    
160     8               Number              16    
161     d               Identifier          16    
162     %               Special_op          16    
163     -               Arithmetic_op       16    
164     1               Number              16    
165     6               Number              16    
166     s               Identifier          16    
167     %               Special_op          16    
168     -               Arithmetic_op       16    
169     2               Number              16    
170     0               Number              16    
171     s               Identifier          16    
172     %               Special_op          16    
173     -               Arithmetic_op       16    
174     6               Number              16    
175     d               Identifier          16    
176     \               Special_op          16    
177     n               Identifier          16    
178     "               Special_op          16    
179     ,               Special_op          16    
180     sl              Identifier          16    
181     _               Special_op          16    
182     number          Identifier          16    
183     ,               Special_op          16    
184     ch              Identifier          16    
185     ,               Special_op          16    
186     lexeme          Identifier          16    
187     ,               Special_op          16    
188     line            Identifier          16    
189     _               Special_op          16    
190     number          Identifier          16    
191     )               Close_bracket       16    
192     ;               Semicolon           16    
193     }               Close_bracket       17    
194     static          Identifier          19    
195     bool            Identifier          19    
196     is              Identifier          19    
197     _               Special_op          19    
198     keyword         Identifier          19    
199     (               Open_bracket        19    
200     const           Identifier          19    
201     char            Keyword             19    
202     *               Arithmetic_op       19    
203     word            Identifier          19    
204     )               Close_bracket       19    
205     {               Open_bracket        20    
206     char            Keyword             21    
207     keywords        Identifier          21    
208     [               Open_bracket        21    
209     KEYWORD         Identifier          21    
210     _               Special_op          21    
211     ENTRIES         Identifier          21    
212     ]               Close_bracket       21    
213     [               Open_bracket        21    
214     COL             Identifier          21    
215     ]               Close_bracket       21    
216     =               Assignment_op       21    
217     {               Open_bracket        21    
218     "               Special_op          22    
219     void            Keyword             22    
220     "               Special_op          22    
221     ,               Special_op          22    
222     "               Special_op          22    
223     int             Keyword             22    
224     "               Special_op          22    
225     ,               Special_op          22    
226     "               Special_op          22    
227     main            Keyword             22    
228     "               Special_op          22    
229     ,               Special_op          22    
230     "               Special_op          22    
231     include         Keyword             22    
232     "               Special_op          22    
233     ,               Special_op          22    
234     "               Special_op          22    
235     stdio           Keyword             22    
236     "               Special_op          22    
237     ,               Special_op          22    
238     "               Special_op          22    
239     FILE            Keyword             22    
240     "               Special_op          22    
241     ,               Special_op          22    
242     "               Special_op          23    
243     argc            Keyword             23    
244     "               Special_op          23    
245     ,               Special_op          23    
246     "               Special_op          23    
247     argv            Keyword             23    
248     "               Special_op          23    
249     ,               Special_op          23    
250     "               Special_op          23    
251     printf          Keyword             23    
252     "               Special_op          23    
253     ,               Special_op          23    
254     "               Special_op          23    
255     fgetc           Keyword             23    
256     "               Special_op          23    
257     ,               Special_op          23    
258     "               Special_op          23    
259     fopen           Keyword             23    
260     "               Special_op          23    
261     ,               Special_op          23    
262     "               Special_op          24    
263     while           Keyword             24    
264     "               Special_op          24    
265     ,               Special_op          24    
266     "               Special_op          24    
267     do              Keyword             24    
268     "               Special_op          24    
269     ,               Special_op          24    
270     "               Special_op          24    
